Nome Pessoa,Matrícula,CPF,Cargo,A pessoa é Gestor? (SIM/NÃO),E-mail corporativo,Unidade de Trabalho,"Vínculo com a Empresa (Próprio, Terceiro e Outros)",CPF Gestor Direto,Turno de trabalho (Horário Início),Turno de trabalho (Horário Fim),Função(ões),Data de início na função,Data Último Mapeamento Gestor,Nome Responsável Mapeamento,Necessidade Supervisão (Mapeamento Gestor),Leitura Contexto (Mapeamento Gestor),Agilidade (Mapeamento Gestor),Pressão Temporal (Mapeamento Gestor),Flexibilidade ao Imprevisto (Mapeamento Gestor),Média Mapeamento Gestor,Data Último Automapeamento,Necessidade Supervisão (Automapeamento),Leitura Contexto (Automapeamento),Agilidade (Automapeamento),Pressão Temporal (Automapeamento),Flexibilidade ao Imprevisto (Automapeamento),Média Automapeamento,Média Mapeamento Final,Data Último Mapeamento,Nome Coletivo Pessoa está alocada,"Tipo do Coletivo que a pessoa está alocada (Mínimo Simples, Mínimo Híbrido, Expandido Simples, Expandido de Gestor)",Nome do Coletivo PAI do Coletivo que a pessoa está alocada (Célula AE),Nome Coletivo de Gestor,Similaridade Real,Data Última Similaridade Real,Similaridade Planejada
Wendy Foster,50041902,1763304612,ENGENHEIRO,Sim,wendy.foster@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Militares,12-05-17,2024-10-02 18:39:43 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Wendy Foster,50041902,1763304612,ENGENHEIRO,Sim,wendy.foster@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Q&A de Processos,12-05-17,2024-10-02 18:39:43 UTC,,0,0,0,0,0,0,,10,10,11,9,10,10,10,2024-10-02 18:39:43 UTC,,,,,,,
Wendy Foster,50041902,1763304612,ENGENHEIRO,Sim,wendy.foster@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Teste,12-05-17,2024-10-02 19:07:22 UTC,Susan Carter,9,9,9,9,9,9,2024-10-02 19:07:22 UTC,0,0,0,0,0,0,9,,,,,,,,
Matthew Bennett,50050583,82587348650,ENGENHEIRO,Não,matthew.bennett@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Suporte Operacional,08-10-20,2024-10-02 20:23:16 UTC,Susan Carter,12,12,11,10,10,11,2024-10-02 20:23:16 UTC,12,11,11,9,10,10.6,10.8,2024-10-02 20:23:16 UTC,Suporte Operacional - Turno A,Mínimo Simples,Suporte Operacional,SW EMBARCADO: DEV - V&V,,,
Matthew Bennett,50050583,82587348650,ENGENHEIRO,Não,matthew.bennett@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Civis,08-10-20,2024-10-02 20:23:17 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Richard Jones,50047357,3077794675,ENGENHEIRO,Não,richard.jones@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Suporte Operacional,05-08-19,2024-10-02 20:23:17 UTC,Susan Carter,3,3,2,2,1,2.2,2024-10-02 20:23:17 UTC,4,3,3,1,1,2.4,2.3,2024-10-02 20:23:17 UTC,Suporte Operacional - Turno B,Mínimo Simples,Suporte Operacional,SW EMBARCADO: DEV - V&V,,,
Richard Jones,50047357,3077794675,ENGENHEIRO,Não,richard.jones@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Consultor V&V - Aeronaves Civis,05-08-19,2024-10-02 20:23:17 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
Richard Jones,50047357,3077794675,ENGENHEIRO,Não,richard.jones@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,DEV - Aeronaves Civis,05-08-19,2024-10-02 20:23:17 UTC,,0,0,0,0,0,0,,4,4,4,3,3,3.6,3.6,2024-10-02 20:23:17 UTC,,,,,,,
Elizabeth Adams,50025277,57995527683,ENGENHEIRO,Não,elizabeth.adams@situated.com.br,Belo Horizonte,Próprio,42006762656,7:00:00,17:00:00,Suporte Operacional,01-15-13,2024-10-02 20:23:18 UTC,Susan Carter,10,10,10,8,7,9,2024-10-02 20:23:18 UTC,9,9,8,9,9,8.8,8.9,2024-10-02 20:23:18 UTC,Suporte Operacional - Turno A,Mínimo Simples,Suporte Operacional,SW EMBARCADO: DEV - V&V,,,
Elizabeth Adams,50025277,57995527683,ENGENHEIRO,Não,elizabeth.adams@situated.com.br,Belo Horizonte,Próprio,,7:00:00,17:00:00,Consultor DEV - Aeronaves Civis,01-15-13,2024-10-02 20:23:18 UTC,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
